,cfs,date,Observation,Forecast,station,lat,lon
64,,2020-09-10 03:00:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
65,,2020-09-10 03:15:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
66,,2020-09-10 03:30:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
67,,2020-09-10 03:45:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
68,,2020-09-10 04:00:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
69,,2020-09-10 04:15:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
70,,2020-09-10 04:30:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
71,,2020-09-10 04:45:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
72,,2020-09-10 05:00:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
73,,2020-09-10 05:15:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
74,,2020-09-10 05:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
75,,2020-09-10 05:45:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
76,,2020-09-10 06:00:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
77,,2020-09-10 06:15:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
78,,2020-09-10 06:30:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
79,,2020-09-10 06:45:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
80,,2020-09-10 07:00:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
81,,2020-09-10 07:15:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
82,,2020-09-10 07:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
83,,2020-09-10 07:45:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
84,,2020-09-10 08:00:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
85,,2020-09-10 08:15:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
86,,2020-09-10 08:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
87,,2020-09-10 08:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
88,,2020-09-10 09:00:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
89,,2020-09-10 09:15:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
90,,2020-09-10 09:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
91,,2020-09-10 09:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
92,,2020-09-10 10:00:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
93,,2020-09-10 10:15:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
94,,2020-09-10 10:30:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
95,,2020-09-10 10:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
96,,2020-09-10 11:00:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
97,,2020-09-10 11:15:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
98,,2020-09-10 11:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
